word,root
белить,бел
белобрысый,бел
белозубый,бел
белок,бел
белолицый,бел
белолобый,бел
белоручка,бел
белорыбица,бел
белохвостый,бел
белошвейка,бел
белуга,бел
белужий,бел
белый,бел
побелка,бел
березина,берёз
березняк,берёз
берёза,берёз
берёзин,берёз
берёзка,берёз
берёзкин,берёз
берёзовый,берёз
берёзонька,берёз
берёзонькин,берёз
берёзочка,берёз
берёзушка,берёз
подберёзовик,берёз
боевик,бой
боевитость,бой
боевой,бой
боеголовка,бой
боеприпасы,бой
боеспособный,бой
боец,бой
бойница,бой
бойня,бой
бойцовский,бой
бойцовый,бой
боёк,бой
болезненный,бол
болезнь,бол
болельщик,бол
болеть,бол
болеющий,бол
больница,бол
больничка,бол
больничный,бол
больно,бол
больной,бол
болячка,бол
заболевание,бол
заболеть,бол
переболеть,бол
братан,брат
братание,брат
братец,брат
братик,брат
братишка,брат
братия,брат
браток,брат
братск,брат
братский,брат
братство,брат
по-братски,брат
собрат,брат
азбука,бук
азбучный,бук
буква,бук
буквальный,бук
букварик,бук
букварный,бук
букварь,бук
буквенный,бук
буквоед,бук
букинист,бук
буковка,бук
веселить,весел
веселиться,весел
весело,весел
веселье,весел
весельчак,весел
веселящийся,весел
веселёшенька,весел
весёленький,весел
весёлость,весел
весёлый,весел
повеселеть,весел
повеселиться,весел
развеселить,весел
развесёлый,весел
весенний,весн
весна,весн
весной,весн
веснушечка,весн
веснушки,весн
веснушчатый,весн
веснянка,весн
весняночка,весн
вешний,весн
по-весеннему,весн
вода,вод
водица,вод
водичка,вод
водный,вод
водовоз,вод
водоворот,вод
водолаз,вод
водопад,вод
водопой,вод
водопровод,вод
водохлёб,вод
водоём,вод
водянка,вод
водяной,вод
движение,вод
наводнение,вод
паводок,вод
подводник,вод
подводный,вод
воробей,вороб
воробейчик,вороб
воробышек,вороб
воробьиная,вороб
воробьиха,вороб
воробьишка,вороб
воробьята,вороб
воробьятник,вороб
воробьёнок,вороб
ворон,ворон
ворона,ворон
вороний,ворон
воронушка,ворон
вороньё,ворон
воронята,ворон
воронёнок,ворон
воронёночек,ворон
проворонить,ворон
главный,голов
голова,голов
головастик,голов
головища,голов
головка,голов
головной,голов
головоломка,голов 
головомойка,голов
головонька,голов
головорез,голов
головотяп,голов
головушка,голов
головёнка,голов
заглавие,голов
заголовок,голов
оглавление,голов
поголовно,голов
трёхголовый,голов
впроголодь,голод
голод,голод
голодание,голод
голодать,голод
голодающий,голод
голодно,голод
голодный,голод
голодовка,голод
голодуха,голод
изголодаться,голод
гласность,голос
гласный,голос
голосина,голос
голосистый,голос
голосить,голос
голосишко,голос
голосище,голос
голосование,голос
голосовать,голос
голосовой,голос
голосок,голос
огласка,голос
подголосок,голос
согласный,голос
горе,гор
горевать,гор
горемыка,гор
горемычный,гор
горестный,гор
горесть,гор
горькие,гор
горюн,гор
горюшко,гор
пригорюниться,гор
грачата,грач
грачик,грач
грачиный,грач
грачиха,грач
грачишка,грач
грачище,грач
грачовник,грач
грачонок,грач
гружёный,груз
груз,груз
грузило,груз
грузить,груз
грузный,груз
грузовик,груз
грузчик,груз
нагрузка,груз
отгружать,груз
перегрузка,груз
погрузка,груз
разгрузить,груз
гусак,гус_1
гусыня,гус_1
гуськом,гус_1
гусята,гус_1
гусятница,гус_1
гусёнок,гус_1
гусёночек,гус_1
гусиный,гус_1
дворец,двор
дворецкий,двор
дворик,двор
дворник,двор
дворня,двор
дворняжка,двор
дворовый,двор
дворцовый,двор
дворянин,двор
надворный,двор
подворье,двор
придворный,двор
добренький,добр
добро,добр
добровольно,добр
добровольный,добр
добродетель,добр
добродетельный,добр
добродушный,добр
добросердечный,добр
добросовестно,добр
добросовестный,добр
доброта,добр
добрый,добр
добрыня,добр
добряк,добр
задобрить,добр
подобреть,добр
бездомный,дом
домик,дом
домина,дом
домишко,дом
домище,дом
домовитый,дом
домовладелец,дом
домовладение,дом
домоводство,дом
домовой,дом
домосед,дом
домострой,дом
домохозяйка,дом
домочадец,дом
домработница,дом
домушник,дом
надомник,дом
друг,друж
дружеский,друж
дружественный,друж
дружина,друж
дружинник,друж
дружить,друж
дружище,друж
дружно,друж
дружный,друж
друзья,друж
подруга,друж
содружество,друж
дуб,дуб
дубина,дуб
дубинка,дуб
дубинушка,дуб
дубняк,дуб
дубовик,дуб
дубовый,дуб
дубок,дуб
дубочек,дуб
дубрава,дуб
дубравушка,дуб
дубьё,дуб
коза,коз
козерог,коз
козий,коз
козлик,коз
козлиный,коз
козлище,коз
козлобородый,коз
козлята,коз
козлятина,коз
козлятник,коз
козлёнок,коз
козочка,коз
козёл,коз
колокол,кол
колоколенка,кол
колоколец,кол
колоколище,кол
колокольный,кол
колокольня,кол
колокольчик,кол
колокольчиковый,кол
колечко,кольц
кольцеброс,кольц
кольцевание,кольц
кольцевидный,кольц
кольцевой,кольц
кольцеобразный,кольц
кольцо,кольц
кольчуга,кольц
окольцевать,кольц
окольцованный,кольц
коневод,кон
коневодство,кон
конезавод,кон
конеферма,кон
конина,кон
конка,кон
конник,кон
конница,кон
конный,кон
коновал,кон
коновязь,кон
конокрад,кон
конский,кон
конюх,кон
конюшня,кон
конёк,кон
ледник,лед
ледниковый,лед
ледовый,лед
ледок,лед
ледокол,лед
ледорез,лед
ледоруб,лед
ледышка,лед
ледянка,лед
ледяной,лед
лёд,лед
обледенение,лед
подлёдный,лед
лесистый,лес
лесник,лес
лесничество,лес
лесничий,лес
лесной,лес
лесовик,лес
лесозаготовка,лес
лесозащитный,лес
лесок,лес
лесопарк,лес
лесопилка,лес
лесоповал,лес
лесоруб,лес
лесосека,лес
лесосплав,лес
лесостепь,лес
подлесок,лес
полесье,лес
вертолёт,лёт
взлёт,лёт
звездолёт,лёт
летать,лёт
летающий,лёт
леток,лёт
летучий,лёт
лёт,лёт
лётный,лёт
лётчик,лёт
перелёт,лёт
полёт,лёт
самолёт,лёт
лиственница,лист
лиственный,лист
листик,лист
листовидный,лист
листовёртка,лист
листоед,лист
листок,лист
листообразный,лист
листопад,лист
листочек,лист
медведица,мед
медведка,мед
медведь,мед
медвежата,мед
медвежатник,мед
медвежий,мед
медвежонок,мед
медовый,мед
медок,мед
медонос,мед
медосбор,мед
медуница,мед
мёд,мед
лосепитомник,лос
лосеферма,лос
лосий,лос
лосиный,лос
лосиха,лос
лось,лос
лосята,лос
лосятина,лос
лосёвый,лос
лосёнок,лос
лосёночек,лос
замораживать,мороз
заморозка,мороз
заморозок,мороз
мороженое,мороз
мороженщик,мороз
мороженщица,мороз
морозец,мороз
морозилка,мороз
морозильник,мороз
морозить,мороз
морозище,мороз
морозный,мороз
морозостойкий,мороз
обморожение,мороз
подмораживать,мороз
овощевод,овощ
овощеводство,овощ
овощеводческий,овощ
овощемоечный,овощ
овощерезка,овощ
овощесушилка,овощ
овощехранилище,овощ
овощной,овощ
отечественный,отец
отечество,отец
отче,отец
отчество,отец
отчий,отец
отчим,отец
по-отечески,отец
обрадовать,рад
радостно,рад
радостный,рад
радость,рад
радушие,рад
радушный,рад
радующий,рад
радующийся,рад
радёхонька,рад
радёшенек,рад
непобедимый,побед
непобеждённый,побед
победа,побед
победивший,побед
победитель,побед
победительница,побед
победить,побед
победный,побед
победоносный,побед
побеждать,побед
побеждающий,побед
побеждённый,побед
ракета,рак
ракета-носитель,рак
ракетница,рак
ракетный,рак
ракетодром,рак
ракетоносец,рак
ракетостроение,рак
ракетчик,рак
породниться,род
родина,род
родители,род
родительский,род
родиться,род
родной,род
родственник,род
родственный,род
белоснежный,снег
заснеженный,снег
подснежник,снег
снегирь,снег
снеговик,снег
снегозадержание,снег
снегокат,снег
снегопад,снег
снеготаяние,снег
снегоуборка,снег
снегоход,снег
снегурочка,снег
снежинка,снег
снежный,снег
снежок,снег
зоосад,сад
палисадник,сад
пересадка,сад
посадка,сад
посадочный,сад
рассада,сад
рассадить,сад
садик,сад
садовник,сад
садовничий,сад
садовод,сад
садоводство,сад
садовый,сад
садочек,сад
сажать,сад
саженец,сад
злословие,слов
послесловие,слов
предисловие,слов
словарик,слов
словарный,слов
словарь,слов
словесник,слов
словесность,слов
словесный,слов
словечко,слов
слово,слов
словоизменение,слов
словообразование,слов
словоохотливый,слов
словосочетание,слов
словотворчество,слов
словоупотребление,слов
словцо,слов
подсолнечник,солнц
подсолнечный,солнц
подсолнух,солнц
солнечный,солнц
солнце,солнц
солнцеворот,солнц
солнцезащитный,солнц
солнцелюбивый,солнц
солнцеобразный,солнц
солнцепёк,солнц
солнцестояние,солнц
солнцестояние,солнц
солнышко,солнц
недосол,сол
пересол,сол
солеварня,сол
солевой,сол
соление,сол
солить,сол
солонец,сол
солонец,сол
солонина,сол
солонка,сол
солоноватый,сол
солончак,сол
солянка,сол
солёный,сол
спортзал,спорт
спортивный,спорт
спортинвентарь,спорт
спортклуб,спорт
спорткомплекс,спорт
спортлото,спорт
спортобщество,спорт
спортплощадка,спорт
спортсмен,спорт
спортсменка,спорт
спорттовары,спорт
застолье,стол
застольный,стол
престол,стол
столик,стол
столица,стол
столичный,стол
столище,стол
столоваться,стол
столовая,стол
стольничий,стол
стольный,стол
столяр,стол
столярничать,стол
столярный,стол
первоцвет,цвет
пустоцвет,цвет
расцветать,цвет
соцветие,цвет
цвести,цвет
цветение,цвет
цветник,цвет
цветовод,цвет
цветочек,цвет
цветочный,цвет
цветущий,цвет
цветы,цвет
охладить,холод
охлаждённый,холод
похолодание,холод
прохлада,холод
прохладный,холод
холодец,холод
холодильник,холод
холодильный,холод
холодина,холод
холодить,холод
холодище,холод
холодно,холод
холодновато,холод
холоднокровный,холод
холодок,холод
холодостойкий,холод
вездеход,ход
восход,ход
вход,ход
выходить,ход
луноход,ход
переход,ход
поход,ход
походка,ход
теплоход,ход
ходики,ход
ходить,ход
ходули,ход
ходунки,ход
нахлебник,хлеб
хлебец,хлеб
хлебница,хлеб
хлебный,хлеб
хлебобулочный,хлеб
хлебозавод,хлеб
хлебозаготовка,хлеб
хлебопашец,хлеб
хлебопекарня,хлеб
хлебопродукты,хлеб
хлебопёк,хлеб
хлеборезка,хлеб
хлебороб,хлеб
хлебосол,хлеб
хлебоуборочный,хлеб
хлебушек,хлеб
безухий,уш
вислоухий,уш
наушники,уш
подушка,уш
уховёртка,уш
ушанка,уш
ушастый,уш
уши,уш
ушко,уш
ушник,уш
ушной,уш
разнотравье,трав
трава,трав
травинка,трав
травинушка,трав
травка,трав
травник,трав
травница,трав
травонька,трав
травополье,трав
травосеяние,трав
травостой,трав
травочка,трав
травоядный,трав
травушка,трав
травянистый,трав
травяной,трав
натренированный,трен
перетренироваться,трен
тренаж,трен
тренажёр,трен
тренер,трен
тренерский,трен
тренинг,трен
тренированный,трен
тренировать,трен
тренироваться,трен
тренировка,трен
тренировочный,трен
встроенный,строй
домостроение,строй
застройка,строй
застройщик,строй
надстройка,строй
перестройка,строй
построен,строй
постройка,строй
пристройка,строй
строитель,строй
строительный,строй
строить,строй
строиться,строй
стройбат,строй
стройка,строй
стройплощадка,строй
выигрывать,игр
выигрыш,игр
игра,игр
играть,игр
играющий,игр
игривый,игр
игрище,игр
игровой,игр
игрок,игр
игротека,игр
игрун,игр
игрушечный,игр
игрушка,игр
наигрыш,игр
подыграть,игр
проигрыш,игр
розыгрыш,игр
сыгранность,игр
каменистый,кам
каменка,кам
каменный,кам
каменотёс,кам
каменщик,кам
камень,кам
камнеломка,кам
камнеломня,кам
камнемёт,кам
камнеобработка,кам
камнепад,кам
камнерез,кам
окаменеть,кам
карта,карт
картина,карт
картинка,карт
картинный,карт
картишки,карт
картограф,карт
картография,карт
картотека,карт
карточка,карт
кожа,кож
кожанка,кож
кожаный,кож
кожевник,кож
кожеед,кож
кожемяка,кож
кожзаменитель,кож
кожица,кож
кожник,кож
кожный,кож
кожура,кож
кожух,кож
кожушок,кож
подкожный,кож
зернистый,зерн
зерно,зерн
зерновой,зерн
зернодробилка,зерн
зерноочистка,зерн
зерноуборочный,зерн
зернохранилище,зерн
зёрнышко,зерн
зима,зим
зимний,зим
зимник,зим
зимовать,зим
зимовка,зим
зимовщик,зим
зимовье,зим
зимородок,зим
зимостойкий,зим
зимушка,зим
зимующий,зим
озимый,зим
озимь,зим
перезимовать,зим
по-зимнему,зим
предзимний,зим
предзимье,зим
заземление,земл
земелька,земл
земельный,земл
землевладелец,земл
земледелец,земл
земледелие,земл
землекоп,земл
землемер,земл
землепашец,земл
землетрясение,земл
землица,земл
земля,земл
земляк,земл
земляника,земл
землянин,земл
землянка,земл
земляной,земл
землячка,земл
земной,земл
наземный,земл
подземелье,земл
подземный,земл
жар-птица,жар
жара,жар
жареный,жар
жарить,жар
жарища,жар
жарко,жар
жаркое,жар
жаровня,жар
жаропрочный,жар
зажарить,жар
поджарить,жар
поджарка,жар
пожар,жар
пожарник,жар
пожарный,жар
прожарить,жар
вызвездить,звезд
звезда,звезд
звездолёт,звезд
звездообразный,звезд
звездопад,звезд
звездоплавание,звезд
звездочёт,звезд
звёздный,звезд
звёздочка,звезд
звёздчатый,звезд
созвездие,звезд
звереть,звер
зверинец,звер
звериный,звер
зверовод,звер
зверолов,звер
звероферма,звер
зверски,звер
зверский,звер
зверство,звер
зверствовать,звер
зверьё,звер
зверюга,звер
зверюшка,звер
зверёк,звер
зверёныш,звер
озвереть,звер
дозвониться,звон
зазвонить,звон
звонарь,звон
звонит,звон
звонкий,звон
звонко,звон
звонкоголосый,звон
звонница,звон
звонок,звон
звоночек,звон
звонче,звон
озвончение,звон
перезвон,звон
перезвонить,звон
трезвон,звон
трезвонить,звон
гусельки,гус_2
гусляр,гус_2
гуслярный,гус_2
гуслярский,гус_2
бездорожье,дорог_1
дорогой,дорог_1
дорожка,дорог_1
по-дорожному,дорог_1
подорожник,дорог_1
придорожный,дорог_1
дорого,дорог_2
дороговато,дорог_2
дороговизна,дорог_2
дороже,дорог_2
дорожить,дорог_2
подорожание,дорог_2
подороже,дорог_2
зубрище,зубр_1
зубробизон,зубр_1
зубрёнок,зубр_1
зубрёночек,зубр_1
вызубрить,зубр_2
зазубрить,зубр_2
зубрилка,зубр_2
зубрёжка,зубр_2
судовладелец,суд_1
судовой,суд_1
судостроение,суд_1
судоходный,суд_1
судёнышко,суд_1
неподсудный,суд_2
подсудимый,суд_2
судейство,суд_2
судимость,суд_2
судить,суд_2
судопроизводство,суд_2
судья,суд_2
междуречье,реч_1
поречье,реч_1
реченька,реч_1
речка,реч_1
речник,реч_1
речной,реч_1
речонка,реч_1
изречение,реч_2
оречевление,реч_2
речевой,реч_2
речетатив,реч_2
речистый,реч_2
пораньше,ран_1
раненько,ран_1
ранний,ран_1
рановато,ран_1
рань,ран_1
раньше,ран_1
израненный,ран_2
поранить,ран_2
ранение,ран_2
раненый,ран_2
ранить,ран_2
ранка,ран_2
заработок,раб_1
подработка,раб_1
работать,раб_1
работник,раб_1
работница,раб_1
работящий,раб_1
рабочий,раб_1
рабовладение,раб_2
раболепие,раб_2
рабский,раб_2
рабство,раб_2
рабыня,раб_2
носилки,нос_1
носильщик,нос_1
носитель,нос_1
переноска,нос_1
поднос,нос_1
снос,нос_1
длинноносый,нос_2
носатый,нос_2
носик,нос_2
носовой,нос_2
носорог,нос_2
утконос,нос_2
босоножки,ног(ж)_1
ножищи,ног(ж)_1
ножка,ног(ж)_1
ножной,ног(ж)_1
ножонка,ног(ж)_1
подножный,ног(ж)_1
ножевой,ног(ж)_2
ножик,ног(ж)_2
ножницы,ног(ж)_2
ножны,ног(ж)_2
ножовка,ног(ж)_2
ножовочный,ног(ж)_2
молодецкий,молод_1
молодчага,молод_1
молодчик,молод_1
молодчина,молод_1
молоденький,молод_2
молодка,молод_2
молодняк,молод_2
молодость,молод_2
молодушка,молод_2
молодёжь,молод_2
моложавый,молод_2
моложе,молод_2
куриный,кур_1
курица,кур_1
курицын,кур_1
курник,кур_1
куровод,кур_1
куроед,кур_1
курочка,кур_1
курятина,кур_1
курятник,кур_1
закурить,кур_2
курилка,кур_2
курильщик,кур_2
окурок,кур_2
купец,куп_1
купечество,куп_1
купленный,куп_1
купля,куп_1
покупать,куп_1
покупка,куп_1
искупаться,куп_2
купава,куп_2
купальник,куп_2
купальный,куп_2
купание,куп_2
купель,куп_2
кормилец,корм_1
кормить,корм_1
кормление,корм_1
кормушка,корм_1
кормёжка,корм_1
накормить,корм_1
подкормка,корм_1
кормило,корм_2
кормовой,корм_2
кормчий,корм_2
кормщик,корм_2
кружевница,круг(ж)_1
кружевной,круг(ж)_1
кружевоплетение,круг(ж)_1
кружевце,круг(ж)_1
вокруг,круг(ж)_2
круглый,круг(ж)_2
кругляк,круг(ж)_2
кругом,круг(ж)_2
кружение,круг(ж)_2
кружить,круг(ж)_2
кружок,круг(ж)_2
окружной,круг(ж)_2
окружность,круг(ж)_2
красавица,крас_1
красавка,крас_1
красавчик,крас_1
красивенький,крас_1
красивый,крас_1
красоваться,крас_1
красота,крас_1
красотка,крас_1
краснеть,крас_2
красноватый,крас_2
красногрудый,крас_2
краснота,крас_2
краснощёкий,крас_2
краснуха,крас_2
красильный,крас_3
красильня,крас_3
красильщик,крас_3
краситель,крас_3
красить,крас_3
краска,крас_3
краскопульт,крас_3
крашеный,крас_3
окрас,крас_3
подкрасить,крас_3
раскраска,крас_3
раскрашивание,крас_3
