Слово,Корень,root
белить,бел,бел
белобрысый,бел,бел
белозубый,бел,бел
белок,бел,бел
белолицый,бел,бел
белолобый,бел,бел
белоручка,бел,бел
белорыбица,бел,бел
белохвостый,бел,бел
белошвейка,бел,бел
белуга,бел,бел
белужий,бел,бел
белый,бел,бел
побелка,бел,бел
березина,берёз,берёз
березняк,берёз,берёз
берёза,берёз,берёз
берёзин,берёз,берёз
берёзка,берёз,берёз
берёзкин,берёз,берёз
берёзовый,берёз,берёз
берёзонька,берёз,берёз
берёзонькин,берёз,берёз
берёзочка,берёз,берёз
берёзушка,берёз,берёз
подберёзовик,берёз,берёз
боевик,бой,бой
боевитость,бой,бой
боевой,бой,бой
боеголовка,бой,бой
боеприпасы,бой,бой
боеспособный,бой,бой
боец,бой,бой
бойница,бой,бой
бойня,бой,бой
бойцовский,бой,бой
бойцовый,бой,бой
боёк,бой,бой
болезненный,бол,бол
болезнь,бол,бол
болельщик,бол,бол
болеть,бол,бол
болеющий,бол,бол
больница,бол,бол
больничка,бол,бол
больничный,бол,бол
больно,бол,бол
больной,бол,бол
болячка,бол,бол
заболевание,бол,бол
заболеть,бол,бол
переболеть,бол,бол
братан,брат,брат
братание,брат,брат
братец,брат,брат
братик,брат,брат
братишка,брат,брат
братия,брат,брат
браток,брат,брат
братск,брат,брат
братский,брат,брат
братство,брат,брат
по-братски,брат,брат
собрат,брат,брат
азбука,бук,бук
азбучный,бук,бук
буква,бук,бук
буквальный,бук,бук
букварик,бук,бук
букварный,бук,бук
букварь,бук,бук
буквенный,бук,бук
буквоед,бук,бук
букинист,бук,бук
буковка,бук,бук
веселить,весел,весел
веселиться,весел,весел
весело,весел,весел
веселье,весел,весел
весельчак,весел,весел
веселящийся,весел,весел
веселёшенька,весел,весел
весёленький,весел,весел
весёлость,весел,весел
весёлый,весел,весел
повеселеть,весел,весел
повеселиться,весел,весел
развеселить,весел,весел
развесёлый,весел,весел
весенний,весн,весн
весна,весн,весн
весной,весн,весн
веснушечка,весн,весн
веснушки,весн,весн
веснушчатый,весн,весн
веснянка,весн,весн
весняночка,весн,весн
вешний,весн,весн
по-весеннему,весн,весн
вода,вод,вод
водица,вод,вод
водичка,вод,вод
водный,вод,вод
водовоз,вод,вод
водоворот,вод,вод
водолаз,вод,вод
водопад,вод,вод
водопой,вод,вод
водопровод,вод,вод
водохлёб,вод,вод
водоём,вод,вод
водянка,вод,вод
водяной,вод,вод
движение,вод,вод
наводнение,вод,вод
паводок,вод,вод
подводник,вод,вод
подводный,вод,вод
воробей,вороб,вороб
воробейчик,вороб,вороб
воробышек,вороб,вороб
воробьиная,вороб,вороб
воробьиха,вороб,вороб
воробьишка,вороб,вороб
воробьята,вороб,вороб
воробьятник,вороб,вороб
воробьёнок,вороб,вороб
ворон,ворон,ворон
ворона,ворон,ворон
вороний,ворон,ворон
воронушка,ворон,ворон
вороньё,ворон,ворон
воронята,ворон,ворон
воронёнок,ворон,ворон
воронёночек,ворон,ворон
проворонить,ворон,ворон
главный,голов,голов
голова,голов,голов
головастик,голов,голов
головища,голов,голов
головка,голов,голов
головной,голов,голов
головоломка,голов ,голов 
головомойка,голов,голов
головонька,голов,голов
головорез,голов,голов
головотяп,голов,голов
головушка,голов,голов
головёнка,голов,голов
заглавие,голов,голов
заголовок,голов,голов
оглавление,голов,голов
поголовно,голов,голов
трёхголовый,голов,голов
впроголодь,голод,голод
голод,голод,голод
голодание,голод,голод
голодать,голод,голод
голодающий,голод,голод
голодно,голод,голод
голодный,голод,голод
голодовка,голод,голод
голодуха,голод,голод
изголодаться,голод,голод
гласность,голос,голос
гласный,голос,голос
голосина,голос,голос
голосистый,голос,голос
голосить,голос,голос
голосишко,голос,голос
голосище,голос,голос
голосование,голос,голос
голосовать,голос,голос
голосовой,голос,голос
голосок,голос,голос
огласка,голос,голос
подголосок,голос,голос
согласный,голос,голос
горе,гор,гор
горевать,гор,гор
горемыка,гор,гор
горемычный,гор,гор
горестный,гор,гор
горесть,гор,гор
горькие,гор,гор
горюн,гор,гор
горюшко,гор,гор
пригорюниться,гор,гор
грачата,грач,грач
грачик,грач,грач
грачиный,грач,грач
грачиха,грач,грач
грачишка,грач,грач
грачище,грач,грач
грачовник,грач,грач
грачонок,грач,грач
гружёный,груз,груз
груз,груз,груз
грузило,груз,груз
грузить,груз,груз
грузный,груз,груз
грузовик,груз,груз
грузчик,груз,груз
нагрузка,груз,груз
отгружать,груз,груз
перегрузка,груз,груз
погрузка,груз,груз
разгрузить,груз,груз
гусак,гус_1,гус
гусыня,гус_1,гус
гуськом,гус_1,гус
гусята,гус_1,гус
гусятница,гус_1,гус
гусёнок,гус_1,гус
гусёночек,гус_1,гус
гусиный,гус_1,гус
дворец,двор,двор
дворецкий,двор,двор
дворик,двор,двор
дворник,двор,двор
дворня,двор,двор
дворняжка,двор,двор
дворовый,двор,двор
дворцовый,двор,двор
дворянин,двор,двор
надворный,двор,двор
подворье,двор,двор
придворный,двор,двор
добренький,добр,добр
добро,добр,добр
добровольно,добр,добр
добровольный,добр,добр
добродетель,добр,добр
добродетельный,добр,добр
добродушный,добр,добр
добросердечный,добр,добр
добросовестно,добр,добр
добросовестный,добр,добр
доброта,добр,добр
добрый,добр,добр
добрыня,добр,добр
добряк,добр,добр
задобрить,добр,добр
подобреть,добр,добр
бездомный,дом,дом
домик,дом,дом
домина,дом,дом
домишко,дом,дом
домище,дом,дом
домовитый,дом,дом
домовладелец,дом,дом
домовладение,дом,дом
домоводство,дом,дом
домовой,дом,дом
домосед,дом,дом
домострой,дом,дом
домохозяйка,дом,дом
домочадец,дом,дом
домработница,дом,дом
домушник,дом,дом
надомник,дом,дом
друг,друж,друж
дружеский,друж,друж
дружественный,друж,друж
дружина,друж,друж
дружинник,друж,друж
дружить,друж,друж
дружище,друж,друж
дружно,друж,друж
дружный,друж,друж
друзья,друж,друж
подруга,друж,друж
содружество,друж,друж
дуб,дуб,дуб
дубина,дуб,дуб
дубинка,дуб,дуб
дубинушка,дуб,дуб
дубняк,дуб,дуб
дубовик,дуб,дуб
дубовый,дуб,дуб
дубок,дуб,дуб
дубочек,дуб,дуб
дубрава,дуб,дуб
дубравушка,дуб,дуб
дубьё,дуб,дуб
коза,коз,коз
козерог,коз,коз
козий,коз,коз
козлик,коз,коз
козлиный,коз,коз
козлище,коз,коз
козлобородый,коз,коз
козлята,коз,коз
козлятина,коз,коз
козлятник,коз,коз
козлёнок,коз,коз
козочка,коз,коз
козёл,коз,коз
колокол,кол,кол
колоколенка,кол,кол
колоколец,кол,кол
колоколище,кол,кол
колокольный,кол,кол
колокольня,кол,кол
колокольчик,кол,кол
колокольчиковый,кол,кол
колечко,кольц,кольц
кольцеброс,кольц,кольц
кольцевание,кольц,кольц
кольцевидный,кольц,кольц
кольцевой,кольц,кольц
кольцеобразный,кольц,кольц
кольцо,кольц,кольц
кольчуга,кольц,кольц
окольцевать,кольц,кольц
окольцованный,кольц,кольц
коневод,кон,кон
коневодство,кон,кон
конезавод,кон,кон
конеферма,кон,кон
конина,кон,кон
конка,кон,кон
конник,кон,кон
конница,кон,кон
конный,кон,кон
коновал,кон,кон
коновязь,кон,кон
конокрад,кон,кон
конский,кон,кон
конюх,кон,кон
конюшня,кон,кон
конёк,кон,кон
ледник,лед,лед
ледниковый,лед,лед
ледовый,лед,лед
ледок,лед,лед
ледокол,лед,лед
ледорез,лед,лед
ледоруб,лед,лед
ледышка,лед,лед
ледянка,лед,лед
ледяной,лед,лед
лёд,лед,лед
обледенение,лед,лед
подлёдный,лед,лед
лесистый,лес,лес
лесник,лес,лес
лесничество,лес,лес
лесничий,лес,лес
лесной,лес,лес
лесовик,лес,лес
лесозаготовка,лес,лес
лесозащитный,лес,лес
лесок,лес,лес
лесопарк,лес,лес
лесопилка,лес,лес
лесоповал,лес,лес
лесоруб,лес,лес
лесосека,лес,лес
лесосплав,лес,лес
лесостепь,лес,лес
подлесок,лес,лес
полесье,лес,лес
вертолёт,лёт,лёт
взлёт,лёт,лёт
звездолёт,лёт,лёт
летать,лёт,лёт
летающий,лёт,лёт
леток,лёт,лёт
летучий,лёт,лёт
лёт,лёт,лёт
лётный,лёт,лёт
лётчик,лёт,лёт
перелёт,лёт,лёт
полёт,лёт,лёт
самолёт,лёт,лёт
лиственница,лист,лист
лиственный,лист,лист
листик,лист,лист
листовидный,лист,лист
листовёртка,лист,лист
листоед,лист,лист
листок,лист,лист
листообразный,лист,лист
листопад,лист,лист
листочек,лист,лист
медведица,мед,мед
медведка,мед,мед
медведь,мед,мед
медвежата,мед,мед
медвежатник,мед,мед
медвежий,мед,мед
медвежонок,мед,мед
медовый,мед,мед
медок,мед,мед
медонос,мед,мед
медосбор,мед,мед
медуница,мед,мед
мёд,мед,мед
лосепитомник,лос,лос
лосеферма,лос,лос
лосий,лос,лос
лосиный,лос,лос
лосиха,лос,лос
лось,лос,лос
лосята,лос,лос
лосятина,лос,лос
лосёвый,лос,лос
лосёнок,лос,лос
лосёночек,лос,лос
замораживать,мороз,мороз
заморозка,мороз,мороз
заморозок,мороз,мороз
мороженое,мороз,мороз
мороженщик,мороз,мороз
мороженщица,мороз,мороз
морозец,мороз,мороз
морозилка,мороз,мороз
морозильник,мороз,мороз
морозить,мороз,мороз
морозище,мороз,мороз
морозный,мороз,мороз
морозостойкий,мороз,мороз
обморожение,мороз,мороз
подмораживать,мороз,мороз
овощевод,овощ,овощ
овощеводство,овощ,овощ
овощеводческий,овощ,овощ
овощемоечный,овощ,овощ
овощерезка,овощ,овощ
овощесушилка,овощ,овощ
овощехранилище,овощ,овощ
овощной,овощ,овощ
отечественный,отец,отец
отечество,отец,отец
отче,отец,отец
отчество,отец,отец
отчий,отец,отец
отчим,отец,отец
по-отечески,отец,отец
обрадовать,рад,рад
радостно,рад,рад
радостный,рад,рад
радость,рад,рад
радушие,рад,рад
радушный,рад,рад
радующий,рад,рад
радующийся,рад,рад
радёхонька,рад,рад
радёшенек,рад,рад
непобедимый,побед,побед
непобеждённый,побед,побед
победа,побед,побед
победивший,побед,побед
победитель,побед,побед
победительница,побед,побед
победить,побед,побед
победный,побед,побед
победоносный,побед,побед
побеждать,побед,побед
побеждающий,побед,побед
побеждённый,побед,побед
ракета,рак,рак
ракета-носитель,рак,рак
ракетница,рак,рак
ракетный,рак,рак
ракетодром,рак,рак
ракетоносец,рак,рак
ракетостроение,рак,рак
ракетчик,рак,рак
породниться,род,род
родина,род,род
родители,род,род
родительский,род,род
родиться,род,род
родной,род,род
родственник,род,род
родственный,род,род
белоснежный,снег,снег
заснеженный,снег,снег
подснежник,снег,снег
снегирь,снег,снег
снеговик,снег,снег
снегозадержание,снег,снег
снегокат,снег,снег
снегопад,снег,снег
снеготаяние,снег,снег
снегоуборка,снег,снег
снегоход,снег,снег
снегурочка,снег,снег
снежинка,снег,снег
снежный,снег,снег
снежок,снег,снег
зоосад,сад,сад
палисадник,сад,сад
пересадка,сад,сад
посадка,сад,сад
посадочный,сад,сад
рассада,сад,сад
рассадить,сад,сад
садик,сад,сад
садовник,сад,сад
садовничий,сад,сад
садовод,сад,сад
садоводство,сад,сад
садовый,сад,сад
садочек,сад,сад
сажать,сад,сад
саженец,сад,сад
злословие,слов,слов
послесловие,слов,слов
предисловие,слов,слов
словарик,слов,слов
словарный,слов,слов
словарь,слов,слов
словесник,слов,слов
словесность,слов,слов
словесный,слов,слов
словечко,слов,слов
слово,слов,слов
словоизменение,слов,слов
словообразование,слов,слов
словоохотливый,слов,слов
словосочетание,слов,слов
словотворчество,слов,слов
словоупотребление,слов,слов
словцо,слов,слов
подсолнечник,солнц,солнц
подсолнечный,солнц,солнц
подсолнух,солнц,солнц
солнечный,солнц,солнц
солнце,солнц,солнц
солнцеворот,солнц,солнц
солнцезащитный,солнц,солнц
солнцелюбивый,солнц,солнц
солнцеобразный,солнц,солнц
солнцепёк,солнц,солнц
солнцестояние,солнц,солнц
солнцестояние,солнц,солнц
солнышко,солнц,солнц
недосол,сол,сол
пересол,сол,сол
солеварня,сол,сол
солевой,сол,сол
соление,сол,сол
солить,сол,сол
солонец,сол,сол
солонец,сол,сол
солонина,сол,сол
солонка,сол,сол
солоноватый,сол,сол
солончак,сол,сол
солянка,сол,сол
солёный,сол,сол
спортзал,спорт,спорт
спортивный,спорт,спорт
спортинвентарь,спорт,спорт
спортклуб,спорт,спорт
спорткомплекс,спорт,спорт
спортлото,спорт,спорт
спортобщество,спорт,спорт
спортплощадка,спорт,спорт
спортсмен,спорт,спорт
спортсменка,спорт,спорт
спорттовары,спорт,спорт
застолье,стол,стол
застольный,стол,стол
престол,стол,стол
столик,стол,стол
столица,стол,стол
столичный,стол,стол
столище,стол,стол
столоваться,стол,стол
столовая,стол,стол
стольничий,стол,стол
стольный,стол,стол
столяр,стол,стол
столярничать,стол,стол
столярный,стол,стол
первоцвет,цвет,цвет
пустоцвет,цвет,цвет
расцветать,цвет,цвет
соцветие,цвет,цвет
цвести,цвет,цвет
цветение,цвет,цвет
цветник,цвет,цвет
цветовод,цвет,цвет
цветочек,цвет,цвет
цветочный,цвет,цвет
цветущий,цвет,цвет
цветы,цвет,цвет
охладить,холод,холод
охлаждённый,холод,холод
похолодание,холод,холод
прохлада,холод,холод
прохладный,холод,холод
холодец,холод,холод
холодильник,холод,холод
холодильный,холод,холод
холодина,холод,холод
холодить,холод,холод
холодище,холод,холод
холодно,холод,холод
холодновато,холод,холод
холоднокровный,холод,холод
холодок,холод,холод
холодостойкий,холод,холод
вездеход,ход,ход
восход,ход,ход
вход,ход,ход
выходить,ход,ход
луноход,ход,ход
переход,ход,ход
поход,ход,ход
походка,ход,ход
теплоход,ход,ход
ходики,ход,ход
ходить,ход,ход
ходули,ход,ход
ходунки,ход,ход
нахлебник,хлеб,хлеб
хлебец,хлеб,хлеб
хлебница,хлеб,хлеб
хлебный,хлеб,хлеб
хлебобулочный,хлеб,хлеб
хлебозавод,хлеб,хлеб
хлебозаготовка,хлеб,хлеб
хлебопашец,хлеб,хлеб
хлебопекарня,хлеб,хлеб
хлебопродукты,хлеб,хлеб
хлебопёк,хлеб,хлеб
хлеборезка,хлеб,хлеб
хлебороб,хлеб,хлеб
хлебосол,хлеб,хлеб
хлебоуборочный,хлеб,хлеб
хлебушек,хлеб,хлеб
безухий,уш,уш
вислоухий,уш,уш
наушники,уш,уш
подушка,уш,уш
уховёртка,уш,уш
ушанка,уш,уш
ушастый,уш,уш
уши,уш,уш
ушко,уш,уш
ушник,уш,уш
ушной,уш,уш
разнотравье,трав,трав
трава,трав,трав
травинка,трав,трав
травинушка,трав,трав
травка,трав,трав
травник,трав,трав
травница,трав,трав
травонька,трав,трав
травополье,трав,трав
травосеяние,трав,трав
травостой,трав,трав
травочка,трав,трав
травоядный,трав,трав
травушка,трав,трав
травянистый,трав,трав
травяной,трав,трав
натренированный,трен,трен
перетренироваться,трен,трен
тренаж,трен,трен
тренажёр,трен,трен
тренер,трен,трен
тренерский,трен,трен
тренинг,трен,трен
тренированный,трен,трен
тренировать,трен,трен
тренироваться,трен,трен
тренировка,трен,трен
тренировочный,трен,трен
встроенный,строй,строй
домостроение,строй,строй
застройка,строй,строй
застройщик,строй,строй
надстройка,строй,строй
перестройка,строй,строй
построен,строй,строй
постройка,строй,строй
пристройка,строй,строй
строитель,строй,строй
строительный,строй,строй
строить,строй,строй
строиться,строй,строй
стройбат,строй,строй
стройка,строй,строй
стройплощадка,строй,строй
выигрывать,игр,игр
выигрыш,игр,игр
игра,игр,игр
играть,игр,игр
играющий,игр,игр
игривый,игр,игр
игрище,игр,игр
игровой,игр,игр
игрок,игр,игр
игротека,игр,игр
игрун,игр,игр
игрушечный,игр,игр
игрушка,игр,игр
наигрыш,игр,игр
подыграть,игр,игр
проигрыш,игр,игр
розыгрыш,игр,игр
сыгранность,игр,игр
каменистый,кам,кам
каменка,кам,кам
каменный,кам,кам
каменотёс,кам,кам
каменщик,кам,кам
камень,кам,кам
камнеломка,кам,кам
камнеломня,кам,кам
камнемёт,кам,кам
камнеобработка,кам,кам
камнепад,кам,кам
камнерез,кам,кам
окаменеть,кам,кам
карта,карт,карт
картина,карт,карт
картинка,карт,карт
картинный,карт,карт
картишки,карт,карт
картограф,карт,карт
картография,карт,карт
картотека,карт,карт
карточка,карт,карт
кожа,кож,кож
кожанка,кож,кож
кожаный,кож,кож
кожевник,кож,кож
кожеед,кож,кож
кожемяка,кож,кож
кожзаменитель,кож,кож
кожица,кож,кож
кожник,кож,кож
кожный,кож,кож
кожура,кож,кож
кожух,кож,кож
кожушок,кож,кож
подкожный,кож,кож
зернистый,зерн,зерн
зерно,зерн,зерн
зерновой,зерн,зерн
зернодробилка,зерн,зерн
зерноочистка,зерн,зерн
зерноуборочный,зерн,зерн
зернохранилище,зерн,зерн
зёрнышко,зерн,зерн
зима,зим,зим
зимний,зим,зим
зимник,зим,зим
зимовать,зим,зим
зимовка,зим,зим
зимовщик,зим,зим
зимовье,зим,зим
зимородок,зим,зим
зимостойкий,зим,зим
зимушка,зим,зим
зимующий,зим,зим
озимый,зим,зим
озимь,зим,зим
перезимовать,зим,зим
по-зимнему,зим,зим
предзимний,зим,зим
предзимье,зим,зим
заземление,земл,земл
земелька,земл,земл
земельный,земл,земл
землевладелец,земл,земл
земледелец,земл,земл
земледелие,земл,земл
землекоп,земл,земл
землемер,земл,земл
землепашец,земл,земл
землетрясение,земл,земл
землица,земл,земл
земля,земл,земл
земляк,земл,земл
земляника,земл,земл
землянин,земл,земл
землянка,земл,земл
земляной,земл,земл
землячка,земл,земл
земной,земл,земл
наземный,земл,земл
подземелье,земл,земл
подземный,земл,земл
жар-птица,жар,жар
жара,жар,жар
жареный,жар,жар
жарить,жар,жар
жарища,жар,жар
жарко,жар,жар
жаркое,жар,жар
жаровня,жар,жар
жаропрочный,жар,жар
зажарить,жар,жар
поджарить,жар,жар
поджарка,жар,жар
пожар,жар,жар
пожарник,жар,жар
пожарный,жар,жар
прожарить,жар,жар
вызвездить,звезд,звезд
звезда,звезд,звезд
звездолёт,звезд,звезд
звездообразный,звезд,звезд
звездопад,звезд,звезд
звездоплавание,звезд,звезд
звездочёт,звезд,звезд
звёздный,звезд,звезд
звёздочка,звезд,звезд
звёздчатый,звезд,звезд
созвездие,звезд,звезд
звереть,звер,звер
зверинец,звер,звер
звериный,звер,звер
зверовод,звер,звер
зверолов,звер,звер
звероферма,звер,звер
зверски,звер,звер
зверский,звер,звер
зверство,звер,звер
зверствовать,звер,звер
зверьё,звер,звер
зверюга,звер,звер
зверюшка,звер,звер
зверёк,звер,звер
зверёныш,звер,звер
озвереть,звер,звер
дозвониться,звон,звон
зазвонить,звон,звон
звонарь,звон,звон
звонит,звон,звон
звонкий,звон,звон
звонко,звон,звон
звонкоголосый,звон,звон
звонница,звон,звон
звонок,звон,звон
звоночек,звон,звон
звонче,звон,звон
озвончение,звон,звон
перезвон,звон,звон
перезвонить,звон,звон
трезвон,звон,звон
трезвонить,звон,звон
гусельки,гус_2,гус
гусляр,гус_2,гус
гуслярный,гус_2,гус
гуслярский,гус_2,гус
бездорожье,дорог_1,дорог
дорогой,дорог_1,дорог
дорожка,дорог_1,дорог
по-дорожному,дорог_1,дорог
подорожник,дорог_1,дорог
придорожный,дорог_1,дорог
дорого,дорог_2,дорог
дороговато,дорог_2,дорог
дороговизна,дорог_2,дорог
дороже,дорог_2,дорог
дорожить,дорог_2,дорог
подорожание,дорог_2,дорог
подороже,дорог_2,дорог
зубрище,зубр_1,зубр
зубробизон,зубр_1,зубр
зубрёнок,зубр_1,зубр
зубрёночек,зубр_1,зубр
вызубрить,зубр_2,зубр
зазубрить,зубр_2,зубр
зубрилка,зубр_2,зубр
зубрёжка,зубр_2,зубр
судовладелец,суд_1,суд
судовой,суд_1,суд
судостроение,суд_1,суд
судоходный,суд_1,суд
судёнышко,суд_1,суд
неподсудный,суд_2,суд
подсудимый,суд_2,суд
судейство,суд_2,суд
судимость,суд_2,суд
судить,суд_2,суд
судопроизводство,суд_2,суд
судья,суд_2,суд
междуречье,реч_1,реч
поречье,реч_1,реч
реченька,реч_1,реч
речка,реч_1,реч
речник,реч_1,реч
речной,реч_1,реч
речонка,реч_1,реч
изречение,реч_2,реч
оречевление,реч_2,реч
речевой,реч_2,реч
речетатив,реч_2,реч
речистый,реч_2,реч
пораньше,ран_1,ран
раненько,ран_1,ран
ранний,ран_1,ран
рановато,ран_1,ран
рань,ран_1,ран
раньше,ран_1,ран
израненный,ран_2,ран
поранить,ран_2,ран
ранение,ран_2,ран
раненый,ран_2,ран
ранить,ран_2,ран
ранка,ран_2,ран
заработок,раб_1,раб
подработка,раб_1,раб
работать,раб_1,раб
работник,раб_1,раб
работница,раб_1,раб
работящий,раб_1,раб
рабочий,раб_1,раб
рабовладение,раб_2,раб
раболепие,раб_2,раб
рабский,раб_2,раб
рабство,раб_2,раб
рабыня,раб_2,раб
носилки,нос_1,нос
носильщик,нос_1,нос
носитель,нос_1,нос
переноска,нос_1,нос
поднос,нос_1,нос
снос,нос_1,нос
длинноносый,нос_2,нос
носатый,нос_2,нос
носик,нос_2,нос
носовой,нос_2,нос
носорог,нос_2,нос
утконос,нос_2,нос
босоножки,ног(ж)_1,"('босоножки', 'нож')"
ножищи,ног(ж)_1,"('ножищи', 'нож')"
ножка,ног(ж)_1,"('ножка', 'нож')"
ножной,ног(ж)_1,"('ножной', 'нож')"
ножонка,ног(ж)_1,"('ножонка', 'нож')"
подножный,ног(ж)_1,"('подножный', 'нож')"
ножевой,ног(ж)_2,"('ножевой', 'нож')"
ножик,ног(ж)_2,"('ножик', 'нож')"
ножницы,ног(ж)_2,"('ножницы', 'нож')"
ножны,ног(ж)_2,"('ножны', 'нож')"
ножовка,ног(ж)_2,"('ножовка', 'нож')"
ножовочный,ног(ж)_2,"('ножовочный', 'нож')"
молодецкий,молод_1,молод
молодчага,молод_1,молод
молодчик,молод_1,молод
молодчина,молод_1,молод
молоденький,молод_2,молод
молодка,молод_2,молод
молодняк,молод_2,молод
молодость,молод_2,молод
молодушка,молод_2,молод
молодёжь,молод_2,молод
моложавый,молод_2,молод
моложе,молод_2,молод
куриный,кур_1,кур
курица,кур_1,кур
курицын,кур_1,кур
курник,кур_1,кур
куровод,кур_1,кур
куроед,кур_1,кур
курочка,кур_1,кур
курятина,кур_1,кур
курятник,кур_1,кур
закурить,кур_2,кур
курилка,кур_2,кур
курильщик,кур_2,кур
окурок,кур_2,кур
купец,куп_1,куп
купечество,куп_1,куп
купленный,куп_1,куп
купля,куп_1,куп
покупать,куп_1,куп
покупка,куп_1,куп
искупаться,куп_2,куп
купава,куп_2,куп
купальник,куп_2,куп
купальный,куп_2,куп
купание,куп_2,куп
купель,куп_2,куп
кормилец,корм_1,корм
кормить,корм_1,корм
кормление,корм_1,корм
кормушка,корм_1,корм
кормёжка,корм_1,корм
накормить,корм_1,корм
подкормка,корм_1,корм
кормило,корм_2,корм
кормовой,корм_2,корм
кормчий,корм_2,корм
кормщик,корм_2,корм
кружевница,круг(ж)_1,"('кружевница', 'круж')"
кружевной,круг(ж)_1,"('кружевной', 'круж')"
кружевоплетение,круг(ж)_1,"('кружевоплетение', 'круж')"
кружевце,круг(ж)_1,"('кружевце', 'круж')"
вокруг,круг(ж)_2,круг
круглый,круг(ж)_2,круг
кругляк,круг(ж)_2,круг
кругом,круг(ж)_2,круг
кружение,круг(ж)_2,"('кружение', 'круж')"
кружить,круг(ж)_2,"('кружить', 'круж')"
кружок,круг(ж)_2,"('кружок', 'круж')"
окружной,круг(ж)_2,"('окружной', 'круж')"
окружность,круг(ж)_2,"('окружность', 'круж')"
красавица,крас_1,крас
красавка,крас_1,крас
красавчик,крас_1,крас
красивенький,крас_1,крас
красивый,крас_1,крас
красоваться,крас_1,крас
красота,крас_1,крас
красотка,крас_1,крас
краснеть,крас_2,крас
красноватый,крас_2,крас
красногрудый,крас_2,крас
краснота,крас_2,крас
краснощёкий,крас_2,крас
краснуха,крас_2,крас
красильный,крас_3,крас
красильня,крас_3,крас
красильщик,крас_3,крас
краситель,крас_3,крас
красить,крас_3,крас
краска,крас_3,крас
краскопульт,крас_3,крас
крашеный,крас_3,крас
окрас,крас_3,крас
подкрасить,крас_3,крас
раскраска,крас_3,крас
раскрашивание,крас_3,крас
