,Lemma
8015,год
49992,человек
5955,время
9304,дело
11456,жизнь
9392,день
39785,рука
37505,раз
37358,работа
42086,слово
20669,место
19293,лицо
10701,друг
7824,глаз
5558,вопрос
10282,дом
44072,сторона
44114,страна
21031,мир
42151,случай
8055,голова
38934,ребенок
41354,сила
17093,конец
4600,вид
41512,система
49940,часть
8258,город
28287,отношение
11347,женщина
9394,деньги
13518,земля
20331,машина
5106,вода
28056,отец
35730,проблема
49915,час
34132,право
25281,нога
39386,решение
9010,дверь
26061,образ
15173,история
4911,власть
12242,закон
5388,война
2881,бог
8088,голос
46620,тысяча
16495,книга
5320,возможность
39114,результат
25392,ночь
44005,стол
14486,имя
25748,область
43802,статья
50280,число
16961,компания
22871,народ
11328,жена
8710,группа
37619,развитие
36814,процесс
44416,суд
47796,условие
43582,средство
23265,начало
40592,свет
33243,пора
37187,путь
10847,душа
47714,уровень
48723,форма
40765,связь
21022,минута
47323,улица
4351,вечер
15962,качество
21946,мысль
10426,дорога
20297,мать
9233,действие
20681,месяц
8390,государство
52007,язык
19631,любовь
4482,взгляд
19952,мама
4074,век
50857,школа
49680,цель
26317,общество
9596,деятельность
27408,организация
34499,президент
16946,комната
33402,порядок
21458,момент
45133,театр
30630,письмо
48057,утро
32974,помощь
41532,ситуация
39627,роль
39761,рубль
42361,смысл
43038,состояние
16012,квартира
27397,орган
5025,внимание
45238,тело
46371,труд
44790,сын
20605,мера
42241,смерть
39934,рынок
35880,программа
11965,задача
34400,предприятие
26863,окно
37693,разговор
34123,правительство
41097,семья
36097,производство
14836,информация
32653,положение
49705,центр
27928,ответ
21762,муж
207,автор
43861,стена
14731,интерес
48365,федерация
34117,правило
47627,управление
21780,мужчина
13915,идея
29266,партия
42556,совет
44736,счет
41181,сердце
9018,движение
4382,вещь
20243,материал
50402,чувство
23585,неделя
7788,глава
23168,наука
39984,ряд
7249,газета
35651,причина
30871,плечо
49687,цена
30713,план
39382,речь
45946,точка
27689,основа
45660,товарищ
18374,культура
8943,данные
21157,мнение
10209,документ
49293,ход
14671,институт
36011,проект
6167,встреча
9809,директор
43599,срок
29016,палец
27368,опыт
42133,служба
44453,судьба
9161,девушка
28865,очередь
18951,лес
43027,состав
50325,член
16719,количество
42530,событие
26347,объект
12333,зал
42683,создание
13674,значение
30263,период
50493,шаг
3222,брат
14985,искусство
44269,структура
35175,пример
25305,номер
15094,исследование
8442,гражданин
13864,игра
23266,начальник
39691,рост
45254,тема
35257,принцип
20748,метод
45556,тип
48549,фильм
17780,край
8382,гость
5281,воздух
49047,характер
3145,борьба
15050,использование
37900,размер
26067,образование
19936,мальчик
18076,кровь
38187,район
23366,небо
1155,армия
16316,класс
34430,представитель
48121,участие
9155,девочка
32541,политика
7623,герой
15794,картина
10271,доллар
43325,спина
45432,территория
32428,пол
32452,поле
14158,изменение
45521,течение
22762,направление
39451,рисунок
49758,церковь
1640,банк
44710,сцена
22938,население
3062,большинство
21788,музыка
34105,правда
40701,свобода
29054,память
16842,команда
43177,союз
5927,врач
10107,договор
9435,дерево
48244,факт
49317,хозяин
35383,природа
46948,угол
45222,телефон
32215,позиция
9039,двор
30605,писатель
40172,самолет
26357,объем
39520,род
42783,солнце
4163,вера
43240,спектакль
2243,берег
48591,фирма
43450,способ
11768,завод
49603,цвет
39792,руководитель
11543,журнал
43278,специалист
28836,оценка
38994,регион
30357,песня
36812,процент
39529,родитель
21565,море
46110,требование
27690,основание
32637,половина
39630,роман
18122,круг
43966,стихи
741,анализ
192,автомобиль
51340,экономика
19221,литература
3533,бумага
34076,поэт
43884,степень
8350,господин
22259,надежда
34324,предмет
20993,министр
3844,вариант
8482,граница
10833,дух
21298,модель
27140,операция
42832,сон
29124,пара
22391,название
47364,ум
31145,повод
43718,старик
20914,миллион
47846,успех
44733,счастье
38941,ребята
15300,кабинет
36570,пространство
19717,магазин
7083,выход
47014,удар
1510,база
13664,знание
45151,текст
13366,защита
39796,руководство
42699,сознание
30935,площадь
5363,возраст
48127,участник
48129,участок
37101,пункт
19164,линия
11274,желание
29101,папа
10202,доктор
8748,губа
10570,дочь
43551,среда
34412,председатель
49536,художник
34438,представление
42754,солдат
5453,волос
27506,оружие
42868,соответствие
4321,ветер
29180,парень
13755,зрение
7484,генерал
26503,огонь
44232,строительство
33074,понятие
48105,ухо
8679,грудь
25353,нос
44149,страх
47809,услуга
42641,содержание
37492,радость
2070,безопасность
35983,продукт
16978,комплекс
2545,бизнес
40023,сад
43079,сотрудник
19031,лето
18475,курс
34321,предложение
39705,рот
45514,технология
39347,реформа
28575,отсутствие
42471,собака
15506,камень
3461,будущее
38560,рассказ
17264,контроль
39147,река
35989,продукция
44512,сумма
45499,техника
13450,здание
44660,сфера
24125,необходимость
48704,фонд
31448,подготовка
19199,лист
39298,республика
49325,хозяйство
5509,воля
3691,бюджет
42401,снег
9434,деревня
21772,мужик
51545,элемент
26179,обстоятельство
24024,немец
30988,победа
15177,источник
13391,звезда
6330,выбор
20185,масса
15240,итог
41257,сестра
34205,практика
35772,проведение
15765,карман
41939,слава
18537,кухня
27272,определение
48934,функция
5391,войско
35168,применение
16904,комиссия
15624,капитан
37363,работник
25621,обеспечение
28751,офицер
48274,фамилия
34309,предел
6337,выборы
48151,ученый
3608,бутылка
2974,бой
45334,теория
13722,зона
28019,отдел
13770,зуб
38067,разработка
19301,личность
45659,товар
8170,гора
20761,метр
34188,праздник
4932,влияние
50309,читатель
47092,удовольствие
465,актер
42008,слеза
48161,учитель
27934,ответственность
462,акт
3039,боль
21263,множество
27706,особенность
32271,показатель
17427,корабль
13433,звук
5816,впечатление
49931,частность
9557,детство
36755,профессор
6380,вывод
10281,доля
25332,норма
36862,прошлое
16844,командир
17458,коридор
31477,поддержка
38219,рамка
5893,враг
51792,этап
50135,черт
9193,дед
42513,собрание
34977,прием
3015,болезнь
16372,клетка
16606,кожа
13381,заявление
43522,сравнение
33238,попытка
38794,расчет
9416,депутат
16907,комитет
13640,знак
10945,дядя
48154,учет
49210,хлеб
49886,чай
39058,режим
49671,целое
4748,вирус
6814,выражение
13558,зима
13461,здоровье
9511,десяток
7881,глубина
41276,сеть
44298,студент
40994,секунда
41783,скорость
32247,поиск
44597,суть
22586,налог
28910,ошибка
10551,доход
39060,режиссер
31098,поверхность
28934,ощущение
15785,карта
43704,станция
16450,клуб
38984,революция
16700,колено
43834,стекло
20991,министерство
51783,этаж
6965,высота
1491,бабушка
46363,трубка
7246,газ
20207,мастер
31071,поведение
44017,столица
20785,механизм
29744,передача
43451,способность
32042,подход
51629,энергия
44649,существование
15037,исполнение
42667,сожаление
16144,кино
12454,заместитель
39320,ресурс
514,акция
39562,рождение
331,администрация
43988,стоимость
47345,улыбка
1189,артист
42980,сосед
48828,фраза
48459,фигура
44395,субъект
43348,список
38907,реакция
48798,фотография
19780,май
11544,журналист
22908,нарушение
45730,толпа
12917,заседание
44648,существо
3041,больница
40731,свойство
32345,поколение
10231,долг
44676,схема
47777,усилие
11416,животное
28197,отличие
27792,остров
36646,противник
5423,волна
44115,страница
38909,реализация
48739,формирование
11492,житель
17860,красота
37019,птица
38673,растение
51970,явление
45321,тень
49437,храм
12646,запах
22578,наличие
5120,водка
47139,ужас
26568,одежда
17947,кресло
3046,больной
32103,поезд
47492,университет
46001,традиция
9245,декабрь
18615,ладонь
340,адрес
40501,сведение
49618,цветок
26962,октябрь
19097,лидер
41126,сентябрь
12586,занятие
52060,январь
32925,помещение
13759,зритель
39036,редакция
43942,стиль
4291,весна
48249,фактор
84,август
14009,известие
11746,зависимость
28813,охрана
26021,оборудование
28022,отделение
17344,концерт
38763,расход
20903,милиция
6981,выставка
30230,переход
51705,эпоха
42526,собственность
44912,тайна
39525,родина
36084,произведение
12608,запад
45963,трава
18598,лагерь
18049,кровать
14482,имущество
1026,аппарат
41196,середина
20129,март
16386,клиент
48892,фронт
8927,дама
28421,отрасль
44317,стул
2293,беседа
35923,продажа
12250,законодательство
31207,повышение
21783,музей
41989,след
42826,сомнение
32583,полковник
33043,понимание
1040,апрель
16526,князь
39889,рыба
10784,дума
44589,сутки
50423,чудо
16589,кодекс
50754,шея
44455,судья
18212,крыша
23059,настроение
33781,поток
34676,преступление
10264,должность
21341,мозг
50172,честь
33591,пост
10969,еврей
15268,июнь
43075,сотня
10135,дождь
19013,лестница
8984,дача
47878,установка
34089,появление
32821,получение
26062,образец
46358,труба
7799,главное
27581,осень
17667,костюм
1469,баба
49699,ценность
37272,пьеса
26399,обязанность
44862,таблица
4701,вино
19481,лошадь
5688,воспоминание
16727,коллега
27409,организм
48176,учреждение
48145,ученик
28153,открытие
45765,том
50136,черта
49050,характеристика
6754,выполнение
26006,оборона
7009,выступление
45296,температура
35047,приказ
31859,подруга
30322,перспектива
39310,ресторан
11361,жертва
16122,километр
43426,спор
4859,вкус
36277,промышленность
35024,признак
684,американец
19317,лоб
12218,заключение
5732,восток
14933,исключение
16472,ключ
33600,постановление
42110,слой
2988,бок
15266,июль
29663,перевод
40968,секретарь
18511,кусок
42146,слух
32844,польза
13431,звонок
26173,обстановка
50259,чиновник
42625,соглашение
39859,русский
9516,деталь
45627,тишина
12879,зарплата
46660,тюрьма
31336,подарок
2560,билет
52135,ящик
17118,конкурс
16505,книжка
14307,изучение
49596,царь
36603,просьба
42258,смех
37034,публика
46989,угроза
42855,сообщение
1873,беда
22406,назначение
2819,блок
10489,достижение
39152,реклама
33347,портрет
20177,масло
43659,стакан
47731,урок
49941,часы
17998,крик
45171,телевизор
45129,творчество
14683,инструмент
18869,лейтенант
17342,концепция
51358,экран
9973,дно
38924,реальность
15543,канал
21997,мясо
13649,знакомый
51170,щека
17308,конфликт
29714,переговоры
12686,запись
3722,вагон
30933,площадка
33504,последствие
43082,сотрудничество
13539,зеркало
45784,тон
399,академия
33821,потребность
28998,палата
25398,ноябрь
46813,увеличение
32105,поездка
10798,дурак
33756,потеря
48359,февраль
25567,обед
47923,устройство
35264,принятие
29198,парк
20633,мероприятие
4376,вещество
40946,сезон
15907,категория
14089,издание
8378,гостиница
45288,темнота
50002,человечество
26335,объединение
16710,колесо
27112,опасность
38085,разрешение
16733,коллектив
5272,воздействие
15507,камера
42001,следствие
12633,запас
9934,длина
26928,округ
18198,крыло
48700,фон
39549,родственник
15559,кандидат
35512,присутствие
8874,давление
4404,взаимодействие
10455,доска
29269,партнер
9014,двигатель
51103,шум
10496,достоинство
8544,грех
25286,нож
32470,полет
44137,страсть
15081,испытание
15131,истина
37959,разница
27184,оплата
5113,водитель
42421,снижение
28983,пакет
48748,формула
11408,живот
15614,капитал
21637,мост
51838,эффект
25273,новость
8751,губернатор
6281,вход
51391,эксперт
10186,доклад
42221,смена
46749,убийство
30787,платье
145,автобус
15346,кадр
45492,тетя
36990,психология
26297,общение
18764,лев
36809,процедура
35777,проверка
33298,порог
37375,рабочий
39226,ремонт
26097,обращение
26243,обучение
26727,ожидание
29050,памятник
17445,корень
22046,наблюдение
3478,буква
10177,доказательство
35025,признание
51004,штаб
33613,постель
17021,компьютер
4876,владелец
14588,инженер
43756,старуха
38198,ракета
19367,лодка
41216,серия
51135,шутка
4267,вершина
18826,лед
6784,выпуск
45866,торговля
18333,кулак
24981,нефть
49837,цифра
21395,молодежь
23676,недостаток
17540,корпус
44654,сущность
40333,сапог
44957,талант
51840,эффективность
32670,полоса
17707,кофе
27697,основное
38587,рассмотрение
51027,штат
40443,сбор
41993,следователь
20816,мешок
11474,жилье
27169,описание
18513,куст
28083,отказ
12491,замок
39030,редактор
9040,дворец
11635,забота
30486,пиво
9688,диван
44016,столик
51384,эксперимент
30439,печать
16830,кольцо
30616,пистолет
36754,профессия
23271,начальство
5666,воспитание
5607,ворота
39435,риск
10006,добро
32334,покой
10706,дружба
26885,окончание
10887,дым
14600,инициатива
4116,величина
3205,брак
12681,записка
42555,совесть
17666,кость
481,активность
43434,спорт
17892,кредит
8356,господь
19787,майор
33785,потолок
17295,конференция
2528,библиотека
32972,помощник
39880,ручка
17196,конструкция
28045,отдых
20693,металл
21420,молоко
46055,транспорт
36187,прокурор
42659,соединение
34072,поэзия
38619,расстояние
17818,краска
41025,село
20801,мечта
10998,еда
31835,подразделение
13586,зло
44836,сюжет
39742,рубеж
41326,сигнал
17949,крест
1335,атмосфера
17209,контакт
4559,взрыв
41321,сигарета
4274,вес
33962,почва
34558,премия
5735,восторг
13704,золото
17512,король
50536,шанс
32076,подъезд
19942,мальчишка
176,автомат
28885,очки
12151,заказ
20831,миг
51072,штука
50362,чтение
43642,ставка
33440,поселок
40653,свидетель
44511,сумка
47056,удивление
49116,хвост
30358,песок
31163,поворот
5245,возвращение
43793,статус
20365,мгновение
26768,озеро
44235,строй
41556,сказка
45304,тенденция
29151,параметр
4691,вина
10908,дыхание
4227,версия
20228,масштаб
49318,хозяйка
21469,монастырь
10567,дочка
45003,танец
51399,эксплуатация
29540,пенсия
35696,приятель
16939,коммунист
26371,объяснение
22056,набор
37247,пыль
36086,производитель
48542,философия
48106,уход
21721,мощность
26404,обязательство
8230,горло
17996,кризис
47208,указание
30761,плата
51959,яблоко
34599,препарат
9235,действительность
27759,остаток
21629,москвич
14222,изображение
40863,сделка
43154,сочинение
45007,танк
32410,покупатель
13157,затрата
44246,строка
11004,единица
